date,day_number,first_commit_time,sprint_completed,in_window,worked_example,bi_techniques_used,trigger_cue,barriers,facilitators,emotion,reflection,plan_version
2026-07-02,2,09:59,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,woke up late and completed the worked example late - seconds to 10am deadline,"managed to clear up my existing workspace prior evening to start fresh, and worked example was readily available in documentation",3,"slight anxiety and panic when the 10am deadline loomed, and i struggled to complete it. but sense of relief and accomplishment when i managed to meet the deadline with seconds to spare.",v1
2026-07-03,3,11:38,yes,no,yes,"implementation-intentions,self-monitoring",morning coffee cue,"had to leave early for another appointment, so i needed to wake up much earlier, and complete the activity in 2 halves","I worked on the pre-requisites the day before, so i hit the ground running today.",3,i realised that building a habit requires conscious effort to prioritise and make adjustments to other tasks (like waking up early and threading the activity into daily life).,v1
2026-07-04,4,09:25,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,not much friction today,today's practice was on my mind in the morning even before morning coffee,4,"getting into the practice took much less effort today. no distractions helped, possibly because weekend has arrived.",v1
2026-07-05,5,07:45,yes,no,no,"implementation-intentions,self-monitoring",morning coffee cue,"today's schedule was too packed to complete the worked example, a substitute was used",luckily an article on graph databases appeared and I watched the recording,3,i feel somewhat relieved that i could at least keep up the habit even though i may not be able to finish the task,v1
2026-07-06,6,09:59,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,None,Woke up refreshed to do the exercises,3,"After a good night's rest it was easier to get started on the coding practice. Exercises were of suitable difficulty, so motivation was sustained throughout the session.",v1
2026-07-07,7,09:28,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,,keeping some link between the preceding day and current day activity makes it quicker to get started.,3,some continuation between the daily practice makes it quicker to get started as there is some anchor and context already set. It also helps recall the preceding day's activities to strengthen the concepts.,v1
2026-07-08,8,08:57,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,,"beginning to feel routine already, especially after the coffee",3,"it feels more liberating when the task is flexible, but the routine is fixed. today's example was adjacent to normal worked examples, so i didn't need to spend extra time outside the sprint window.",v1
2026-07-09,9,09:05,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,,there was free time in the morning to complete the worked examples,4,"Having an empty schedule helps with learning, because I won't feel pressured to complete the tasks and at the same time, I can properly deploy attention to the worked examples.",v1
2026-07-10,10,07:44,yes,no,yes,"implementation-intentions,self-monitoring",early overlapping event,"lack of time, due to a work appointment clashing in the morning",i can use the contents of the work appointment as practice,4,"I managed to maintain practice even when time was limited, by adjusting the contents of the worked examples. The habit was prioritised and maintained.",v1
2026-07-11,11,08:53,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,"finding a new topic, since the graph topic I felt was a bit boring today",i was curious about other topics so finding an alternate topic was quite simple.,3,being flexible about the way habits are performed can help maintain the practice. curiosity helps too.,v1
2026-07-12,12,09:34,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,overruns might occur if worked examples are too difficult,LLMs can help speed up debugging and issue finding,2,"worked examples generated by llm can vary in difficulty, and the llm when used to generate more complex examples can sometimes be wrong. so in a way, i can also train my debugging skills and logic. but i do need to take note of time management, as it is easy to get absorbed.",v1
2026-07-13,13,09:30,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,,had ample time today to complete the worked examples.,3,"The cypher queries produced by Qwen3 27B is sometimes wrong, especially for the more complex ones. So in future, I'd need to upgrade to a more capable model for complex worked examples.",v1
2026-07-14,14,08:26,yes,yes,yes,"implementation-intentions,self-monitoring",morning coffee cue,couldn't think of a topic to learn this morning,i recalled that visualisation was a challenge during my technical assignment for neo4j,2,"there was a bit of time pressure due to having to go for class today at 9am, plus i didn't have a ready topic to work on. but i recalled that graph visualisation was something i had to pick up, hence leading to today's topic.",v1
2026-07-15,15,11:44,yes,no,yes,"implementation-intentions,self-monitoring",morning coffee cue,"woke up much later due to watching FIFA WC2026 the night before, so it was tiring.",i used a different technique to be productive and motivating (using current software at work - neo4j desktop - with new worked example via LLM),3,"i realised from course trainer feedback that i'm actually ""habit hacking"", because i'm very focused on trigger-routine-reward. that tracks well with what i'm doing.",v1
